# Fx,Fy
0.000000000000000000e+00,2.936807377845263023e-01
0.000000000000000000e+00,3.042549983177927908e-01
0.000000000000000000e+00,3.130377683012786072e-01
0.000000000000000000e+00,3.201292419872819872e-01
0.000000000000000000e+00,3.256469452158261557e-01
0.000000000000000000e+00,3.297207420789594057e-01
0.000000000000000000e+00,3.324884940635097763e-01
0.000000000000000000e+00,3.340923065586032248e-01
0.000000000000000000e+00,3.346753081673392582e-01
0.000000000000000000e+00,3.343789159586563198e-01
0.000000000000000000e+00,3.333405453555565723e-01
0.000000000000000000e+00,3.316917273276359657e-01
0.000000000000000000e+00,3.295565983666237653e-01
0.000000000000000000e+00,3.270507307031589317e-01
0.000000000000000000e+00,3.242802716329462598e-01
0.000000000000000000e+00,3.213413618655724946e-01
0.000000000000000000e+00,3.183198036500650696e-01
0.000000000000000000e+00,3.152909501911099754e-01
0.000000000000000000e+00,3.036426328977726019e-01
0.000000000000000000e+00,2.857749678285365080e-01
0.000000000000000000e+00,2.636097405656090409e-01
0.000000000000000000e+00,2.386962809706238975e-01
0.000000000000000000e+00,2.122796254706815766e-01
0.000000000000000000e+00,1.853540203513187601e-01
0.000000000000000000e+00,1.587053903858381965e-01
0.000000000000000000e+00,1.329454653085160309e-01
0.000000000000000000e+00,1.085395881577966293e-01
0.000000000000000000e+00,8.582971833239749770e-02
0.000000000000000000e+00,6.505375265877688662e-02
0.000000000000000000e+00,4.636199240656502241e-02
0.000000000000000000e+00,2.983136173541234282e-02
0.000000000000000000e+00,1.547781697320949057e-02
0.000000000000000000e+00,3.267263518314522663e-03
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.381237005404989393e-02
0.000000000000000000e+00,3.343671198053121962e-02
0.000000000000000000e+00,5.617910918113200314e-02
0.000000000000000000e+00,8.078740083293678431e-02
0.000000000000000000e+00,1.062584262211074826e-01
0.000000000000000000e+00,1.317950917525456678e-01
0.000000000000000000e+00,1.567718614542845668e-01
0.000000000000000000e+00,1.807066850987992801e-01
0.000000000000000000e+00,2.032378824211539259e-01
0.000000000000000000e+00,2.241048776937681897e-01
0.000000000000000000e+00,2.431319584344993068e-01
0.000000000000000000e+00,2.602144396550559735e-01
0.000000000000000000e+00,2.753067691459837318e-01
0.000000000000000000e+00,2.884122235786334976e-01
0.000000000000000000e+00,2.995739299393423982e-01
0.000000000000000000e+00,3.088670096280893285e-01
0.000000000000000000e+00,3.163916891142998233e-01
0.000000000000000000e+00,3.222672555350220014e-01
0.000000000000000000e+00,3.266267611377388080e-01
0.000000000000000000e+00,3.296123992976696115e-01
0.000000000000000000e+00,3.313714886666452308e-01
0.000000000000000000e+00,3.320530120944609198e-01
0.000000000000000000e+00,3.318046642438049476e-01
0.000000000000000000e+00,3.307703670053691036e-01
0.000000000000000000e+00,3.290882154556240557e-01
0.000000000000000000e+00,3.268888196030600435e-01
0.000000000000000000e+00,3.242940088698675893e-01
0.000000000000000000e+00,3.214158674135103588e-01
0.000000000000000000e+00,3.183560692110609658e-01
0.000000000000000000e+00,3.152054824709421554e-01
0.000000000000000000e+00,3.120440135259794356e-01
0.000000000000000000e+00,3.089406609947964455e-01
0.000000000000000000e+00,3.059537517430871434e-01
0.000000000000000000e+00,3.031313310780375803e-01
0.000000000000000000e+00,2.918354951231472150e-01
0.000000000000000000e+00,2.830954328658918939e-01
0.000000000000000000e+00,2.678227022871793039e-01
0.000000000000000000e+00,2.566637504018232097e-01
0.000000000000000000e+00,2.488928971920301159e-01
0.000000000000000000e+00,2.352240787021808721e-01
0.000000000000000000e+00,2.261480914798807973e-01
0.000000000000000000e+00,2.208079206736229816e-01
0.000000000000000000e+00,2.098057559667287908e-01
0.000000000000000000e+00,2.035339864156510137e-01
0.000000000000000000e+00,1.923817468671662478e-01
0.000000000000000000e+00,1.865508910948709964e-01
0.000000000000000000e+00,1.849488248119190992e-01
0.000000000000000000e+00,1.866562511645031286e-01
0.000000000000000000e+00,1.909104414789697390e-01
0.000000000000000000e+00,1.970760106555163871e-01
0.000000000000000000e+00,2.046224665282908584e-01
0.000000000000000000e+00,2.131068434268940104e-01
0.000000000000000000e+00,2.221601072449241876e-01
0.000000000000000000e+00,2.314763549456150260e-01
0.000000000000000000e+00,2.408040846586118056e-01
0.000000000000000000e+00,2.499390029906456423e-01
0.000000000000000000e+00,2.587179789658555773e-01
0.000000000000000000e+00,2.670138606243221968e-01
0.000000000000000000e+00,2.747309495107319588e-01
0.000000000000000000e+00,2.818009867684778680e-01
0.000000000000000000e+00,2.881795474174420058e-01
0.000000000000000000e+00,2.938427705223900510e-01
0.000000000000000000e+00,2.987843753048280426e-01
0.000000000000000000e+00,3.030129290574912204e-01
0.000000000000000000e+00,3.065493436825861284e-01
0.000000000000000000e+00,3.094245850751925486e-01
0.000000000000000000e+00,3.116775843743646579e-01
0.000000000000000000e+00,3.133533430313911738e-01
0.000000000000000000e+00,3.145012252387074936e-01
0.000000000000000000e+00,3.151734319277560425e-01
0.000000000000000000e+00,3.154236505816826464e-01
0.000000000000000000e+00,3.153058747405362849e-01
0.000000000000000000e+00,3.148733864698183282e-01
