# q1,q2,q3
8.597672714850870257e-01,-1.427429837483275454e+00,2.259268912346007463e-02
8.597683753725999800e-01,-1.427376360692195201e+00,2.242680915874325012e-02
8.597694135659077475e-01,-1.427326461831720961e+00,2.227279708936632727e-02
8.597703900302419155e-01,-1.427279924304336367e+00,2.213010482758334327e-02
8.597713084802738326e-01,-1.427236541218697141e+00,2.199817594034946325e-02
8.597721723981787134e-01,-1.427196115517310737e+00,2.187645135258019929e-02
8.597729850499734594e-01,-1.427158459980340410e+00,2.176437421605801129e-02
8.597737495003640040e-01,-1.427123397130272808e+00,2.166139403018801576e-02
8.597744686262968061e-01,-1.427090759058227798e+00,2.156697009385934172e-02
8.597751451293750291e-01,-1.427060387189321489e+00,2.148057436113141871e-02
8.597757815472754084e-01,-1.427032132001615050e+00,2.140169376732596260e-02
8.597763802642776065e-01,-1.427005852710745648e+00,2.132983208635504113e-02
8.597769435210022015e-01,-1.426981416930254598e+00,2.126451137474124828e-02
8.597774734234377991e-01,-1.426958700315871242e+00,2.120527305277392083e-02
8.597779719513274355e-01,-1.426937586200517805e+00,2.115167866858182893e-02
8.597784409659730009e-01,-1.426917965225541707e+00,2.110331038657222227e-02
8.597788822175096435e-01,-1.426899734972617351e+00,2.105977123767380568e-02
8.597792973516962256e-01,-1.426882799599863638e+00,2.102068516511108529e-02
8.597796879162600270e-01,-1.426867069484973882e+00,2.098569689601421234e-02
8.597800553668319967e-01,-1.426852460877524376e+00,2.095447166601608485e-02
8.597804010725031976e-01,-1.426838895562101417e+00,2.092669482109187074e-02
8.597807263210307527e-01,-1.426826300533454051e+00,2.090207131823988360e-02
8.597810323237182750e-01,-1.426814607684513403e+00,2.088032514417209953e-02
8.597813202199935390e-01,-1.426803753507827732e+00,2.086119866896343419e-02
8.597815910817042662e-01,-1.426793678810712951e+00,2.084445194958668701e-02
8.597818459171511218e-01,-1.426784328444225869e+00,2.082986199642208880e-02
8.597820856748746854e-01,-1.426775651045905757e+00,2.081722201416312881e-02
8.597823112472130491e-01,-1.426767598796102599e+00,2.080634062703203696e-02
8.597825234736444777e-01,-1.426760127187610916e+00,2.079704109685668115e-02
8.597827231439285622e-01,-1.426753194808253467e+00,2.078916054133510272e-02
8.597829110010586362e-01,-1.426746763135996909e+00,2.078254915871340439e-02
8.597830877440377773e-01,-1.426740796346143592e+00,2.077706946411757988e-02
8.597832540304878313e-01,-1.426735261130111398e+00,2.077259554190051885e-02
8.597834104791037824e-01,-1.426730126525296516e+00,2.076901231758313676e-02
8.597835576719606854e-01,-1.426725363755503517e+00,2.076621485227502298e-02
8.597836961566840408e-01,-1.426720946081426078e+00,2.076410766184725448e-02
8.597838264484906068e-01,-1.426716848660661840e+00,2.076260406259120006e-02
8.597839490321078637e-01,-1.426713048416755614e+00,2.076162554462514936e-02
8.597840643635796809e-01,-1.426709523916775080e+00,2.076110117389933299e-02
8.597841728719648469e-01,-1.426706255256934730e+00,2.076096702329351812e-02
8.597842749609343471e-01,-1.426703223955805067e+00,2.076116563299455417e-02
8.597843710102744952e-01,-1.426700412854655209e+00,2.076164550007880347e-02
8.597844613773004685e-01,-1.426697806024500803e+00,2.076236059700211148e-02
8.597845463981865777e-01,-1.426695388679444232e+00,2.076326991851323508e-02
8.597846263892171548e-01,-1.426693147095916325e+00,2.076433705635191002e-02
8.597847016479637228e-01,-1.426691068537446760e+00,2.076552980096629461e-02
8.597847724543923320e-01,-1.426689141184608545e+00,2.076681976938311858e-02
8.597848390719052825e-01,-1.426687354069803959e+00,2.076818205828468572e-02
8.597849017483213396e-01,-1.426685697016574217e+00,2.076959492128706286e-02
8.597849607167977748e-01,-1.426684160583136629e+00,2.077103946937111298e-02
8.597850161966976712e-01,-1.426682736009867059e+00,2.077249939338991422e-02
8.597850683944064931e-01,-1.426681415170464540e+00,2.077396070756110102e-02
8.597851175040994720e-01,-1.426680190526549818e+00,2.077541151284844831e-02
8.597851637084642507e-01,-1.426679055085464443e+00,2.077684177914223065e-02
8.597852071793804507e-01,-1.426678002361053466e+00,2.077824314516113838e-02
8.597852480785592721e-01,-1.426677026337226151e+00,2.077960873501824568e-02
8.597852865581449011e-01,-1.426676121434103939e+00,2.078093299041896755e-02
8.597853227612806126e-01,-1.426675282476577156e+00,2.078221151748855730e-02
8.597853568226412335e-01,-1.426674504665101706e+00,2.078344094726012822e-02
8.597853888689341861e-01,-1.426673783548582319e+00,2.078461880889020952e-02
8.597854190193708890e-01,-1.426673114999192915e+00,2.078574341470698292e-02
