# tau1,tau2,tau3
1.128006085943271231e+01,4.558486986427431553e+00,8.394268989418319782e-01
1.128044387616962396e+01,4.558825787286992615e+00,8.393838567276616924e-01
1.128078646674968866e+01,4.559128423066931113e+00,8.393359727905370660e-01
1.128109225575493291e+01,4.559398166632563587e+00,8.392844054951389410e-01
1.128136470124932877e+01,4.559638138731749279e+00,8.392301872168681509e-01
1.128160707192554213e+01,4.559851287347949977e+00,8.391742306621942094e-01
1.128182243257298367e+01,4.560040374646789019e+00,8.391173359196653081e-01
1.128201363623197118e+01,4.560207970015138557e+00,8.390601979679181976e-01
1.128218332166156834e+01,4.560356447934485580e+00,8.390034144196732990e-01
1.128233391497339255e+01,4.560487989637390882e+00,8.389474933250965494e-01
1.128246763447553391e+01,4.560604587672592913e+00,8.388928608952911370e-01
1.128258649793380286e+01,4.560708052654422140e+00,8.388398690379355038e-01
1.128269233159682194e+01,4.560800021599991538e+00,8.387888026232500627e-01
1.128278678044884664e+01,4.560881967365643774e+00,8.387398864201038862e-01
1.128287131925430309e+01,4.560955208785703263e+00,8.386932916599991739e-01
1.128294726404175741e+01,4.561020921193591704e+00,8.386491422013212516e-01
1.128301578374629166e+01,4.561080147070252444e+00,8.386075202782000693e-01
1.128307791178828978e+01,4.561133806619124265e+00,8.385684718279358130e-01
1.128313455741634286e+01,4.561182708112181849e+00,8.385320113985937907e-01
1.128318651668349482e+01,4.561227557889367290e+00,8.384981266444242465e-01
1.128323448295998155e+01,4.561268969924807237e+00,8.384667824213638543e-01
1.128327905691387834e+01,4.561307474898832481e+00,8.384379244983711787e-01
1.128332075591426253e+01,4.561343528735862130e+00,8.384114829028832538e-01
1.128336002282989448e+01,4.561377520585036649e+00,8.383873749203933912e-01
1.128339723421190222e+01,4.561409780234249034e+00,8.383655077692657720e-01
1.128343270786049146e+01,4.561440584958893929e+00,8.383457809724237375e-01
1.128346670978539734e+01,4.561470165815197930e+00,8.383280884477143369e-01
1.128349946057695163e+01,4.561498713394465554e+00,8.383123203385369759e-01
1.128353114121000900e+01,4.561526383059336887e+00,8.382983646058367322e-01
1.128356189830694056e+01,4.561553299686726071e+00,8.382861084019090914e-01
1.128359184888877209e+01,4.561579561944464345e+00,8.382754392456305270e-01
