# Fx,Fy
0.000000000000000000e+00,8.026656429226397549e-03
0.000000000000000000e+00,8.016684745927316058e-03
0.000000000000000000e+00,8.006806300862034931e-03
0.000000000000000000e+00,7.997020134598020746e-03
0.000000000000000000e+00,7.987325296425762389e-03
0.000000000000000000e+00,7.977720844548619183e-03
0.000000000000000000e+00,7.968205846246023683e-03
0.000000000000000000e+00,7.958779378010039096e-03
0.000000000000000000e+00,7.949440525685247394e-03
0.000000000000000000e+00,7.940188384565338708e-03
0.000000000000000000e+00,7.931022059466386054e-03
0.000000000000000000e+00,7.921940664826765399e-03
0.000000000000000000e+00,7.912943324717147675e-03
0.000000000000000000e+00,7.904029172917104162e-03
0.000000000000000000e+00,7.895197352915106492e-03
0.000000000000000000e+00,7.886447017955156014e-03
0.000000000000000000e+00,7.877777330976831749e-03
0.000000000000000000e+00,7.869187464675242438e-03
0.000000000000000000e+00,7.860676601464389179e-03
0.000000000000000000e+00,7.852243933420544053e-03
0.000000000000000000e+00,7.843888662305564807e-03
0.000000000000000000e+00,7.835609999476966792e-03
0.000000000000000000e+00,7.827407165887922957e-03
0.000000000000000000e+00,7.819279391997335793e-03
0.000000000000000000e+00,7.811225917743191971e-03
0.000000000000000000e+00,7.803245992472618298e-03
0.000000000000000000e+00,7.795338874881929669e-03
0.000000000000000000e+00,7.787503832943354354e-03
0.000000000000000000e+00,7.779740143828428600e-03
0.000000000000000000e+00,7.772047093858036604e-03
0.000000000000000000e+00,7.764423978402490434e-03
0.000000000000000000e+00,7.756870101824908659e-03
0.000000000000000000e+00,7.749384777377965605e-03
0.000000000000000000e+00,7.741967327143939315e-03
0.000000000000000000e+00,7.734617081938122141e-03
0.000000000000000000e+00,7.727333381222223352e-03
0.000000000000000000e+00,7.720115573024433075e-03
0.000000000000000000e+00,7.712963013866147577e-03
0.000000000000000000e+00,7.705875068662049188e-03
0.000000000000000000e+00,7.698851110610194226e-03
0.000000000000000000e+00,7.691890521142052961e-03
0.000000000000000000e+00,7.684992689835912216e-03
0.000000000000000000e+00,7.678157014276987269e-03
0.000000000000000000e+00,7.671382900030776497e-03
0.000000000000000000e+00,7.664669760513165286e-03
0.000000000000000000e+00,7.658017016933804655e-03
0.000000000000000000e+00,7.651424098179537836e-03
0.000000000000000000e+00,7.644890440734464221e-03
0.000000000000000000e+00,7.638415488603333969e-03
0.000000000000000000e+00,7.631998693224950614e-03
0.000000000000000000e+00,7.625639513368920319e-03
0.000000000000000000e+00,7.619337415079030507e-03
0.000000000000000000e+00,7.613091871546684430e-03
0.000000000000000000e+00,7.606902363067602479e-03
0.000000000000000000e+00,7.600768376931910097e-03
0.000000000000000000e+00,7.594689407364185740e-03
0.000000000000000000e+00,7.588664955403556789e-03
0.000000000000000000e+00,7.582694528863731520e-03
0.000000000000000000e+00,7.576777642223087028e-03
0.000000000000000000e+00,7.570913816574709188e-03
0.000000000000000000e+00,7.565102579499827229e-03
0.000000000000000000e+00,7.559343465034507048e-03
0.000000000000000000e+00,7.553636013583053810e-03
0.000000000000000000e+00,7.547979771811430538e-03
0.000000000000000000e+00,7.542374292620612763e-03
0.000000000000000000e+00,7.536819135016692428e-03
0.000000000000000000e+00,7.531313864104216549e-03
0.000000000000000000e+00,7.525858050919653763e-03
0.000000000000000000e+00,7.520451272458039682e-03
0.000000000000000000e+00,7.515093111533088788e-03
0.000000000000000000e+00,7.509783156747218413e-03
0.000000000000000000e+00,7.504521002384967332e-03
0.000000000000000000e+00,7.499306248379689066e-03
0.000000000000000000e+00,7.494138500230285160e-03
0.000000000000000000e+00,7.489017368924599793e-03
0.000000000000000000e+00,7.483942470879467734e-03
0.000000000000000000e+00,7.478913427884092968e-03
0.000000000000000000e+00,7.473929867033435315e-03
0.000000000000000000e+00,7.468991420651605040e-03
0.000000000000000000e+00,7.464097726248564157e-03
0.000000000000000000e+00,7.459248426430198364e-03
0.000000000000000000e+00,7.454443168871671688e-03
0.000000000000000000e+00,7.449681606224167751e-03
0.000000000000000000e+00,7.444963396074921747e-03
0.000000000000000000e+00,7.440288200893929726e-03
0.000000000000000000e+00,7.435655687950681880e-03
0.000000000000000000e+00,7.431065529274194503e-03
0.000000000000000000e+00,7.426517401593057954e-03
0.000000000000000000e+00,7.422010986295468626e-03
0.000000000000000000e+00,7.417545969342631551e-03
0.000000000000000000e+00,7.413122041228792369e-03
0.000000000000000000e+00,7.408738896931277296e-03
0.000000000000000000e+00,7.404396235873855758e-03
0.000000000000000000e+00,7.400093761826820327e-03
0.000000000000000000e+00,7.395831182913648050e-03
0.000000000000000000e+00,7.391608211501088377e-03
0.000000000000000000e+00,7.387424564205824495e-03
0.000000000000000000e+00,7.383279961804545266e-03
0.000000000000000000e+00,7.379174129197307863e-03
0.000000000000000000e+00,7.375106795370900414e-03
0.000000000000000000e+00,7.371077693335559289e-03
0.000000000000000000e+00,7.367086560078339730e-03
0.000000000000000000e+00,7.363133136533139833e-03
0.000000000000000000e+00,7.359217167517417835e-03
0.000000000000000000e+00,7.355338401695554751e-03
0.000000000000000000e+00,7.351496591525563673e-03
0.000000000000000000e+00,7.347691493225783077e-03
0.000000000000000000e+00,7.343922866734908794e-03
0.000000000000000000e+00,7.340190475655372637e-03
0.000000000000000000e+00,7.336494087220035709e-03
0.000000000000000000e+00,7.332833472232236360e-03
0.000000000000000000e+00,7.329208405065790188e-03
0.000000000000000000e+00,7.325618663578392642e-03
0.000000000000000000e+00,7.322064029104957683e-03
0.000000000000000000e+00,7.318544286394335074e-03
0.000000000000000000e+00,7.315059223589326365e-03
0.000000000000000000e+00,7.311608632160071508e-03
0.000000000000000000e+00,7.308192306914040870e-03
0.000000000000000000e+00,7.304810045916099170e-03
0.000000000000000000e+00,7.301461650445206786e-03
0.000000000000000000e+00,7.298146925007742425e-03
0.000000000000000000e+00,7.294865677244244395e-03
0.000000000000000000e+00,7.291617717936071941e-03
0.000000000000000000e+00,7.288402860938791861e-03
0.000000000000000000e+00,7.285220923182178510e-03
0.000000000000000000e+00,7.282071724590277739e-03
0.000000000000000000e+00,7.278955088078076230e-03
0.000000000000000000e+00,7.275870839521525468e-03
0.000000000000000000e+00,7.272818807700920374e-03
0.000000000000000000e+00,7.269798824280915284e-03
0.000000000000000000e+00,7.266810723783878601e-03
0.000000000000000000e+00,7.263854343553255433e-03
0.000000000000000000e+00,7.260929523703607558e-03
0.000000000000000000e+00,7.258036107110621415e-03
0.000000000000000000e+00,7.255173939381132087e-03
0.000000000000000000e+00,7.252342868803163256e-03
0.000000000000000000e+00,7.249542746329273868e-03
0.000000000000000000e+00,7.246773425553243442e-03
0.000000000000000000e+00,7.244034762646789360e-03
0.000000000000000000e+00,7.241326616389542892e-03
0.000000000000000000e+00,7.238648848059137109e-03
0.000000000000000000e+00,7.236001321487828264e-03
0.000000000000000000e+00,7.233383902949253041e-03
0.000000000000000000e+00,7.230796461211719262e-03
0.000000000000000000e+00,7.228238867448277816e-03
