# ex,ey
1.382497412438787876e-06,8.146123902097457403e-07
1.383046728253845004e-06,8.141042580761537195e-07
1.383593973725005810e-06,8.135976433398806051e-07
1.384139275861784313e-06,8.130924021160224058e-07
1.384682752680888029e-06,8.125884010390382883e-07
1.385224513872351793e-06,8.120855153892492240e-07
1.385764661465671566e-06,8.115836297312162273e-07
1.386303290162871349e-06,8.110826362761613950e-07
1.386840488004636995e-06,8.105824349652346328e-07
1.387376336925427722e-06,8.100829327339909014e-07
1.387910912864498414e-06,8.095840429989120679e-07
1.388444286654078041e-06,8.090856851855621201e-07
1.388976524130391965e-06,8.085877843955202593e-07
1.389507686466728842e-06,8.080902711565807195e-07
1.390037830617529835e-06,8.075930806317188626e-07
1.390567009429410916e-06,8.070961527023579052e-07
1.391095272196274379e-06,8.065994314271351939e-07
1.391622664881353444e-06,8.061028648892465398e-07
1.392149230117212255e-06,8.056064047523570082e-07
1.392675007760857397e-06,8.051100062744787067e-07
1.393200034560670986e-06,8.046136276418369704e-07
1.393724345044589086e-06,8.041172303296928447e-07
1.394247971520101714e-06,8.036207782974313929e-07
1.394770943852208234e-06,8.031242381273395736e-07
1.395293290018528864e-06,8.026275788997061511e-07
1.395815035776237778e-06,8.021307718458769997e-07
1.396336205550241516e-06,8.016337903898884676e-07
1.396856822100112083e-06,8.011366097321337421e-07
1.397376906520086948e-06,8.006392069326295768e-07
1.397896478572135948e-06,8.001415608138717772e-07
1.398415556685961292e-06,7.996436515445015658e-07
1.398934158070019862e-06,7.991454610140058534e-07
1.399452298933567818e-06,7.986469722637279389e-07
1.399969994597682899e-06,7.981481696950343263e-07
1.400487258829130610e-06,7.976490386807366662e-07
1.401004105061609550e-06,7.971495659814253898e-07
1.401520545729617595e-06,7.966497391487248336e-07
1.402036592490496503e-06,7.961495468444823587e-07
1.402552256224431915e-06,7.956489784244347163e-07
1.403067547256497960e-06,7.951480242157638045e-07
1.403582475356657255e-06,7.946466751979075482e-07
1.404097049517716300e-06,7.941449231829711408e-07
1.404611278177370082e-06,7.936427605936824392e-07
1.405125169662291285e-06,7.931401802552251468e-07
