# tau1,tau2,tau3
1.274397646441980925e+01,3.367087425842977932e+00,8.454642978406177178e-01
1.274293066499579297e+01,3.367200215180680800e+00,8.456975324967944685e-01
1.274188487337765174e+01,3.367313678193025073e+00,8.459305967033714513e-01
1.274083908991113567e+01,3.367427814940219921e+00,8.461634903595328661e-01
1.273979331494206768e+01,3.367542625482053964e+00,8.463962133646474317e-01
1.273874754881572358e+01,3.367658109877581296e+00,8.466287656180923049e-01
1.273770179187781793e+01,3.367774268185552256e+00,8.468611470195370750e-01
1.273665604447345601e+01,3.367891100463950682e+00,8.470933574686451140e-01
1.273561030694797047e+01,3.368008606770346969e+00,8.473253968653245982e-01
1.273456457964640087e+01,3.368126787161700886e+00,8.475572651095573118e-01
1.273351886291377255e+01,3.368245641694417536e+00,8.477889621015074484e-01
1.273247315709492256e+01,3.368365170424335364e+00,8.480204877414391218e-01
1.273142746253468260e+01,3.368485373406761241e+00,8.482518419297996326e-01
1.273038177957780270e+01,3.368606250696438043e+00,8.484830245671772797e-01
1.272933610856878417e+01,3.368727802347489142e+00,8.487140355542648340e-01
1.272829044985223668e+01,3.368850028413532538e+00,8.489448747919650096e-01
1.272724480377249812e+01,3.368972928947570722e+00,8.491755421812701154e-01
1.272619917067398276e+01,3.369096504002095926e+00,8.494060376233570908e-01
1.272515355090089528e+01,3.369220753628971554e+00,8.496363610195351024e-01
1.272410794479747409e+01,3.369345677879549861e+00,8.498665122712764086e-01
1.272306235270771602e+01,3.369471276804510751e+00,8.500964912801880491e-01
1.272201677497573868e+01,3.369597550454082491e+00,8.503262979480490369e-01
1.272097121194537195e+01,3.369724498877836538e+00,8.505559321767360847e-01
1.271992566396055402e+01,3.369852122124818106e+00,8.507853938683498374e-01
1.271888013136507034e+01,3.369980420243479990e+00,8.510146829250962996e-01
1.271783461450261754e+01,3.370109393281676358e+00,8.512437992493593342e-01
1.271678911371685849e+01,3.370239041286735571e+00,8.514727427436451501e-01
1.271574362935136548e+01,3.370369364305390469e+00,8.517015133106224933e-01
1.271469816174967704e+01,3.370500362383795689e+00,8.519301108531337485e-01
1.271365271125525709e+01,3.370632035567543205e+00,8.521585352741549713e-01
1.271260727821142567e+01,3.370764383901602823e+00,8.523867864768029934e-01
1.271156186296160406e+01,3.370897407430453629e+00,8.526148643643927105e-01
1.271051646584897199e+01,3.371031106197921901e+00,8.528427688403252827e-01
1.270947108721679797e+01,3.371165480247335644e+00,8.530704998082067059e-01
1.270842572740819421e+01,3.371300529621342967e+00,8.532980571717854179e-01
1.270738038676627113e+01,3.371436254362124352e+00,8.535254408349515209e-01
